time,qy_1,qy_2,qy_3,qy_4,temp,vpd,co2,eppfd_1,eppfd_2,eppfd_3,eppfd_4,eppfdi_1,eppfdi_2,eppfdi_3,eppfdi_4,ppfd_1,ppfd_2,ppfd_3,ppfd_4,ppfdi_1,ppfdi_2,ppfdi_3,ppfdi_4,eppfd_g,eppfdi_g,date,edli_1,edli_2,edli_3,edli_4,dli_1,dli_2,dli_3,dli_4
2025-04-23T10:00:00Z,0.726,0.609,0.599,0.699,22.53,0.385,498.4,355.5436,478.8275,431.0842,333.8958,223.8592,407.4432,355.0995,198.868,241.6848,379.0887,349.1417,221.9634,162.3785,337.3611,303.5179,153.78,368.4182,455.0424,2025-04-23,2.1701317517999996,2.5106604938999997,2.2109876928,2.2730285691,1.6580307509999999,1.9460458467,1.8037750779000001,1.6100934938999998
2025-04-23T10:15:00Z,0.771,0.616,0.613,0.627,22.77,0.443,497.2,212.5657,778.8503,727.9268,320.5142,196.2408,998.8445,786.9095,685.114,159.4982,616.163,588.0924,473.3214,154.343,745.5566,628.787,617.6938,653.2728,644.1334,2025-04-23,2.3614408818,3.2116257639,2.8661218128,2.5614913490999998,1.801579131,2.5005925466999996,2.3330582379,2.0360827538999997
2025-04-23T10:30:00Z,0.642,0.586,0.596,0.644,22.44,0.345,488.3,374.8952,953.6892,671.1593,560.8746,396.182,1012.797,682.312,659.6385,330.3517,753.9755,551.2072,376.962,378.877,808.7336,699.9695,539.3632,705.4127,654.803,2025-04-23,2.6988465618,4.0699460439,3.4701651827999997,3.0662784890999997,2.098895661,3.1791704967,2.8291447179,2.3753485539000003
2025-04-23T10:45:00Z,0.667,0.601,0.559,0.504,22.64,0.386,486.4,492.3037,905.9457,860.2344,609.5238,599.3924,582.1594,614.1259,659.0847,375.8944,773.1686,688.9302,512.3474,357.2933,736.5149,592.0956,432.4224,608.8248,780.5814,2025-04-23,3.1419198917999998,4.885297173900001,4.2443761428,3.6148499090999997,2.4372006209999997,3.8750222366999996,3.4491818979000004,2.8364612139
2025-04-23T11:00:00Z,0.568,0.582,0.526,0.523,22.73,0.428,481.6,568.9819,821.3598,940.6493,793.9056,676.4512,982.7424,1023.773,818.4167,377.4312,644.9142,775.7529,562.9194,476.4791,800.0589,756.0118,638.16010000000006,670.3144,555.7641,2025-04-23,3.6540036018000004,5.6245209939,5.0909605128,4.3293649491,2.776888701,4.4554450167,4.147359507899999,3.3430886738999996
2025-04-23T11:15:00Z,0.486,0.534,0.521,0.445,23.13,0.44,484.7,694.7063,1001.919,1002.84,579.0745,796.1356,1071.811,1016.773,381.1947,539.2867,804.3923,843.2635,398.2495,666.9076,857.7952,781.3582,547.7866,608.3588,588.1886,2025-04-23,4.2792392718,6.5262480939,5.9935165128,4.850531999099999,3.2622467310000003,5.179398086700001,4.9062966579,3.7015132238999997
2025-04-23T11:30:00Z,0.554,0.525,0.477,0.607,23.15,0.462,482.4,586.6264,737.0725,683.3542,505.7105,478.4015,579.0022,535.8113,483.7959,477.5984,586.2678,551.8491,491.8894,385.306,465.6822,443.0415,402.5325,442.2809,475.5495,2025-04-23,4.8072030318,7.1896133439,6.6085352928,5.3056714491,3.692085291,5.7070391067,5.4029608479,4.1442136838999994
2025-04-23T11:45:00Z,0.641,0.588,0.554,0.574,23.38,0.475,481.3,650.7759,885.7397,776.3801,636.87,484.3137,1099.436,1024.983,757.054,513.8395,716.0629,640.2456,586.6993,463.7852,845.3015,822.6888,760.1348,453.5198,346.9754,2025-04-23,5.392901341800001,7.9867790739,7.307277382800001,5.878854449099999,4.154540841,6.3514957167,5.9791818879,4.6722430539
2025-04-23T12:00:00Z,0.617,0.568,0.492,0.459,23.57,0.487,479.5,656.6992,860.4713,765.7806,574.0272,643.2304,727.0198,640.7708,456.1012,623.7422,698.6638,600.0891,541.8068,544.2129,578.049,423.0624,376.4254,530.3271,888.8319,2025-04-23,5.9839306218,8.761203243899999,7.996479922800001,6.395478929099999,4.715908820999999,6.9802931367,6.5192620779,5.1598691739
2025-04-23T12:15:00Z,0.647,0.572,0.556,0.607,23.53,0.459,478,528.7852,572.3611,487.9382,467.9846,397.0159,439.5363,404.6512,400.5022,435.5145,465.7032,394.8362,397.5116,316.0533,346.2889,328.8707,313.6345,443.9434,418.8139,2025-04-23,6.4598373018,9.2763282339,8.4356243028,6.8166650691,5.107871871,7.3994260167,6.8746146579,5.5176296139000005
2025-04-23T12:30:00Z,0.653,0.586,0.565,0.622,23.11,0.416,477.2,349.4123,387.2474,357.3847,347.7706,400.9121,440.815,411.5193,402.2498,278.7853,306.5553,290.4854,273.3602,321.5312,350.8903,337.7874,321.0128,336.0841,373.0365,2025-04-23,6.774308371800001,9.6248508939,8.7572705328,7.1296586091,5.358778641,7.675325786699999,7.1360515178999995,5.7636537939
2025-04-23T12:45:00Z,0.463,0.483,0.397,0.487,23.83,0.458,479.2,731.9792,761.5399,609.1765,559.0292,1246.816,1332.746,1196.181,829.545,578.4052,585.088,532.1223,521.1914,1035.918,1075.403,1030.359,1010.95,716.438,1078.601,2025-04-23,7.4330896518000005,10.3102368039,9.305529382800001,7.6327848891,5.8793433209999995,8.2019049867,7.6149615879,6.2327260539
2025-04-23T13:00:00Z,0.72,0.607,0.604,0.725,24.18,0.575,478,777.8536,812.1233,764.1427,592.5917,222.3031,249.7266,233.3763,223.3083,552.1923,638.6932,635.0989,613.8842,175.877,194.4903,189.3119,171.7783,407.4963,207.0722,2025-04-23,8.1331578918,11.0411477739,9.9932578128,8.166117419099999,6.3763163910000005,8.776728866700001,8.1865505979,6.7852218339
2025-04-23T13:15:00Z,0.704,0.601,0.596,0.684,22.91,0.413,482.9,247.7433,261.9227,232.7755,225.8909,254.4361,261.5002,236.4948,215.0967,195.9819,207.8013,199.9343,184.8828,207.1633,209.9352,196.5763,173.0168,221.8287,205.1534,2025-04-23,8.356126861800002,11.2768782039,10.202755762799999,8.3694192291,6.552700101000001,8.963750036699999,8.3664914679,6.9516163538999995
