"time","qy_1","qy_2","qy_3","qy_4"
2025-04-03 13:14:40.626,0.487,0.442,0.432,0.617
2025-04-03 13:29:39.731,0.622,0.463,0.41,0.496
2025-04-03 13:44:38.878,0.6,0.489,0.433,0.639
2025-04-03 13:59:37.968,0.548,0.475,0.426,0.636
2025-04-03 14:14:37.241,0.604,0.473,0.447,0.577
2025-04-03 14:29:36.476,0.284,0.474,0.463,0.591
2025-04-03 14:44:35.515,0.51,0.423,0.438,0.586
2025-04-03 14:59:34.569,0.471,0.464,0.403,0.566
2025-04-03 15:14:33.834,0.604,0.513,0.463,0.676
2025-04-03 15:29:33.013,0.466,0.508,0.406,0.625
2025-04-03 15:44:32.069,0.557,0.531,0.442,0.628
2025-04-03 15:59:31.194,0.451,0.497,0.4,0.632
2025-04-03 16:14:30.252,0.411,0.54,0.398,0.731
2025-04-03 16:29:29.443,0.68,0.574,0.499,0.729
2025-04-03 16:44:28.592,0.462,0.54,0.41,0.699
2025-04-03 16:59:27.69,0.577,0.524,0.415,0.699
2025-04-03 17:14:26.774,0.724,0.575,0.527,0.733
2025-04-03 17:29:26.018,0.709,0.547,0.451,0.728
2025-04-03 17:44:25.531,0.67,0.565,0.458,0.684
2025-04-03 17:59:24.632,0.732,0.579,0.505,0.726
2025-04-03 18:14:23.651,0.76,0.591,0.528,0.761
2025-04-03 18:29:22.594,0.728,0.591,0.436,0.757
2025-04-03 18:44:21.829,0.756,0.595,0.504,0.741
2025-04-03 18:59:21.061,0.776,0.648,0.567,0.753
2025-04-03 19:14:20.333,0.744,0.661,0.59,0.78
2025-04-03 19:29:19.534,0.774,0.698,0.634,0.817
2025-04-03 19:44:18.581,0.837,0.821,0.817,0.809
2025-04-03 19:59:17.679,0.843,0.834,0.835,0.832
2025-04-03 20:14:16.688,0.869,0.852,0.853,0.855
2025-04-03 20:29:15.823,0.854,0.861,0.86,0.865
2025-04-03 21:00:03.521,0.872,0.857,0.862,0.876
2025-04-03 22:00:01.587,0.853,0.853,0.858,0.863
2025-04-03 22:59:59.831,0.867,0.856,0.862,0.874
2025-04-03 23:59:57.976,0.873,0.854,0.854,0.874
2025-04-04 00:59:56.248,0.877,0.842,0.856,0.88
2025-04-04 01:59:54.828,0.861,0.844,0.85,0.86
2025-04-04 02:59:53.092,0.881,0.842,0.854,0.859
2025-04-04 03:59:51.24,0.886,0.846,0.85,0.854
2025-04-04 05:05:03.634,0.864,0.845,0.847,0.861
2025-04-04 06:00:03.087,0.868,0.81,0.818,0.856
2025-04-04 06:15:02.298,0.864,0.828,0.838,0.866
2025-04-04 06:30:01.577,0.882,0.827,0.834,0.854
2025-04-04 06:45:00.79,0.866,0.828,0.834,0.861
2025-04-04 07:00:00.011,0.85,0.807,0.819,0.846
2025-04-04 07:14:59.209,0.825,0.782,0.767,0.822
2025-04-04 07:29:58.302,0.836,0.756,0.771,0.809
2025-04-04 07:44:57.32,0.855,0.755,0.767,0.816
2025-04-04 07:59:56.426,0.799,0.755,0.769,0.82
2025-04-04 08:14:55.586,0.797,0.741,0.723,0.772
2025-04-04 08:29:54.658,0.774,0.728,0.725,0.779
2025-04-04 08:44:53.841,0.777,0.704,0.704,0.771
2025-04-04 08:59:53.033,0.766,0.708,0.681,0.773
2025-04-04 09:14:52.227,0.748,0.65,0.669,0.731
2025-04-04 09:29:51.42,0.745,0.607,0.657,0.681
2025-04-04 09:44:50.722,0.714,0.662,0.675,0.568
2025-04-04 09:59:49.961,0.748,0.656,0.667,0.698
2025-04-04 10:14:49.525,0.705,0.662,0.648,0.741
2025-04-04 10:29:48.825,0.571,0.629,0.607,0.642
2025-04-04 10:44:48.073,0.686,0.578,0.577,0.61
2025-04-04 10:59:47.358,0.689,0.6,0.58,0.649
2025-04-04 11:14:46.586,0.571,0.572,0.535,0.408
2025-04-04 11:29:45.86,0.675,0.582,0.569,0.466
2025-04-04 11:44:45.125,0.446,0.581,0.556,0.434
2025-04-04 11:59:44.691,0.412,0.556,0.551,0.449
2025-04-04 12:14:44.29,0.592,0.545,0.54,0.556
2025-04-04 12:29:43.946,0.68,0.592,0.577,0.691
2025-04-04 12:44:43.411,0.321,0.546,0.518,0.405
2025-04-04 12:59:42.473,0.612,0.582,0.566,0.673
2025-04-04 13:14:41.577,0.363,0.542,0.517,0.627
2025-04-04 13:29:40.648,0.606,0.569,0.515,0.545
2025-04-04 13:44:39.744,0.598,0.553,0.54,0.583
2025-04-04 13:59:38.884,0.386,0.551,0.496,0.424
2025-04-04 14:14:37.969,0.533,0.524,0.514,0.591
2025-04-04 14:29:37.047,0.6,0.493,0.503,0.552
2025-04-04 14:44:36.359,0.5,0.526,0.505,0.582
2025-04-04 14:59:35.435,0.329,0.482,0.484,0.571
2025-04-04 15:14:34.548,0.588,0.49,0.473,0.47
2025-04-04 15:29:33.625,0.563,0.554,0.514,0.633
2025-04-04 15:44:32.706,0.657,0.549,0.524,0.653
2025-04-04 15:59:31.941,0.604,0.579,0.472,0.659
2025-04-04 16:14:31.129,0.688,0.57,0.533,0.674
2025-04-04 16:29:30.743,0.607,0.568,0.514,0.698
2025-04-04 16:44:30.378,0.667,0.581,0.533,0.696
2025-04-04 16:59:29.963,0.579,0.577,0.49,0.657
2025-04-04 17:14:29.165,0.678,0.584,0.547,0.695
2025-04-04 17:29:28.229,0.717,0.622,0.58,0.714
2025-04-04 17:44:27.345,0.6,0.574,0.543,0.69
2025-04-04 17:59:26.399,0.741,0.612,0.575,0.698
2025-04-04 18:14:25.566,0.72,0.634,0.586,0.765
2025-04-04 18:29:24.69,0.785,0.639,0.595,0.749
2025-04-04 18:44:23.804,0.746,0.66,0.633,0.767
2025-04-04 18:59:22.907,0.783,0.671,0.633,0.776
2025-04-04 19:14:22.188,0.771,0.681,0.654,0.776
2025-04-04 19:29:21.245,0.784,0.694,0.674,0.792
2025-04-04 19:44:20.45,0.801,0.729,0.709,0.803
2025-04-04 19:59:19.679,0.85,0.79,0.787,0.842
2025-04-04 20:14:18.86,0.878,0.824,0.838,0.866
2025-04-04 20:29:17.865,0.841,0.833,0.846,0.855
2025-04-04 21:00:03.009,0.886,0.831,0.84,0.858
