"time","temp","vpd","co2","eppfd_1","eppfd_2","eppfd_3","eppfd_4","eppfdi_1","eppfdi_2","eppfdi_3","eppfdi_4","ppfd_1","ppfd_2","ppfd_3","ppfd_4","ppfdi_1","ppfdi_2","ppfdi_3","ppfdi_4","eppfd_g","eppfdi_g"
2025-04-24 10:15:00,22.08,0.065,506.5,161.3917,168.8422,166.3402,167.244,130.9638,138.1007,135.3565,135.9333,128.2948,130.691,134.9082,128.6777,103.8199,106.4613,109.7166,104.4425,155.5445,128.6415
2025-04-24 10:30:00,21.81,0.093,506.2,143.8301,151.1049,148.1923,149.4219,196.2332,201.4316,199.5898,201.9989,114.6165,117.549,120.6062,114.988,156.5249,156.4372,162.7292,155.7556,150.9871,233.5643
2025-04-24 10:45:00,21.11,0.004,506.6,219.3679,232.0733,226.7598,227.8541,189.3882,196.4958,194.8267,195.3139,174.9117,180.9701,184.6054,175.4588,150.6862,152.7601,158.6452,150.1514,219.2228,196.1553
2025-04-24 11:00:00,21.15,-0.01,501.6,188.9103,199.1805,194.5572,196.053,154.6787,161.2759,158.3672,159.746,150.5368,155.2374,158.4036,151.0943,123.3471,125.4425,128.6897,123.292,184.115,135.8745
2025-04-24 11:15:00,21.71,0.04,500,155.423,161.9153,160.611,161.3454,173.8713,184.0379,181.8249,180.7642,123.6062,125.2748,130.4088,124.275,138.1018,143.1463,147.6552,138.6323,163.922,231.7729
2025-04-24 11:30:00,20.86,-0.043,497.2,228.8593,240.0889,237.0039,236.8607,252.8811,269.214,263.2253,262.279,182.2235,186.7217,192.8914,181.969,201.1651,210.1678,214.6722,201.228,235.6307,239.5792
2025-04-24 11:45:00,21.26,-0.063,498,291.9952,307.0684,302.1412,302.6364,332.7765,347.4266,343.6886,343.07,232.6066,239.4381,246.0451,232.5951,264.6748,271.0839,279.4793,263.4716,304.8402,383.4962
2025-04-24 12:00:00,22.06,0.017,497.2,326.3511,343.037,337.4224,336.8763,305.909,323.3093,316.6408,317.884,259.6847,265.8929,274.0205,259.7745,244.0712,250.3821,256.7743,245.6713,323.7365,303.0118
2025-04-24 12:15:00,22.25,0.087,494.9,276.8198,289.1012,284.2436,286.4088,287.11,294.8824,292.0349,295.5727,220.0661,222.9995,230.2936,220.8582,228.5525,227.5261,237.3961,227.2725,282.4805,358.6905
2025-04-24 12:30:00,22.67,0.167,493.8,366.7428,380.3592,374.1866,375.1136,356.6443,372.4303,362.8951,365.5406,292.1195,296.4249,304.0723,292.0388,283.5623,288.1924,294.2047,283.3031,371.0503,349.61
2025-04-24 12:45:00,23.12,0.264,490.1,374.8293,388.6333,382.0839,384.8844,435.9126,455.3258,436.6499,439.6081,298.5147,301.7094,310.5133,298.1725,346.9888,356.0647,355.9608,342.2992,392.3721,445.4747
2025-04-24 13:00:00,23.28,0.215,488.6,583.7999,624.175,636.6299,577.2746,493.1587,514.8783,516.5298,506.3193,457.4749,496.8289,525.9925,500.0176,394.9578,403.8648,421.0703,396.7021,527.8241,538.1614
2025-04-24 13:15:00,22.57,0.201,484.3,399.4935,419.0227,412.7747,406.0273,249.5495,264.4281,259.3302,252.4989,320.6085,326.9117,335.3364,319.154,198.1672,206.0338,210.843,196.6308,378.5897,271.1531
2025-04-24 13:30:00,21.57,0.114,482.2,234.3224,246.0455,240.7813,239.7854,268.8137,283.4758,278.5501,274.8293,186.2983,190.6004,194.9099,187.29,213.8956,221.2004,226.6945,213.952,240.4486,301.2429
2025-04-24 13:45:00,21.46,0.031,482.8,297.3212,308.7515,304.8839,303.6803,316.5516,330.3346,325.1041,324.6136,236.7386,239.6751,247.1732,236.9824,251.8287,256.6588,263.4755,253.2557,305.572,331.8911
2025-04-24 14:00:00,21.88,0.056,482.8,369.034,383.2634,384.227,374.7576,406.7954,424.7076,425.9348,415.8535,293.9943,299.3804,312.8155,291.7082,325.0096,331.9881,346.9858,321.312,385.6673,444.0768
2025-04-24 14:15:00,23.06,0.208,486.6,471.3084,542.136,544.3737,524.7637,562.8562,668.9438,672.5215,646.4258,377.4493,422.1557,444.2871,416.3861,451.2795,521.7901,549.4339,521.2125,555.7872,670.0222
2025-04-24 14:30:00,23.15,0.266,481.4,499.9645,530.9645,528.9455,521.2878,571.1604,578.1846,548.8857,557.4758,400.7701,414.8704,430.6703,409.4809,460.3133,457.4256,440.7243,425.3561,524.3013,602.8307
2025-04-24 14:45:00,24.08,0.28,479.3,863.0479,790.5296,803.5253,871.1198,1216.81,694.4057,1178.782,1170.733,696.8123,638.2788,708.4197,654.1326,949.5754,586.3893,964.0685,886.8846,878.8032,1034.51
2025-04-24 15:00:00,24.5,0.425,480.1,789.5619,641.2388,759.5881,718.4435,986.2371,766.4672,996.9821,907.8963,624.0017,510.4503,627.3752,571.8127,765.7798,746.681,809.8349,761.9266,805.9846,902.0012
2025-04-24 15:15:00,23.81,0.423,478.9,510.5472,493.3303,526.8382,514.997,352.3443,356.9907,352.058,354.6539,395.7822,387.9351,434.651,408.6768,277.9019,278.7342,286.8897,275.0301,466.7724,287.2717
2025-04-24 15:30:00,22.94,0.292,476.5,305.2388,310.7798,307.9774,309.6727,354.3227,358.9329,357.5579,362.5538,241.8457,241.8794,250.2609,242.0788,281.9878,279.7347,291.4125,283.7813,314.6579,379.9471
2025-04-24 15:45:00,23.35,0.26,477.2,435.8102,436.6447,437.5203,435.6752,255.5833,266.7386,265.7174,260.9457,347.2854,341.3676,354.4621,341.8619,203.8681,208.3967,216.8649,204.1226,435.4997,264.5685
2025-04-24 16:00:00,22.3,0.181,475.8,189.8625,197.7222,194.7339,192.3028,137.9686,142.1489,139.9816,139.7907,150.5551,153.7895,158.7533,150.2189,109.0899,110.2357,113.279,108.7697,177.3955,140.6115
2025-04-24 16:15:00,21.53,0.043,475.3,126.7648,131.98,129.496,129.5494,101.6466,105.187,103.7482,104.2202,99.82882,101.431,104.5258,100.8636,79.54401,79.59269,83.02033,80.79292,125.8153,103.7647
2025-04-24 16:30:00,21.97,-0.035,478,102.1422,103.5637,102.5271,103.9525,104.9094,105.6901,104.3595,107.0172,80.28806,77.81094,81.84148,81.29024,82.8764,79.57735,83.64568,83.85329,108.2506,110.6379
2025-04-24 16:45:00,22.71,-0.018,478.6,107.717,109.1144,106.5472,110.7306,108.6564,111.3392,108.8669,110.315,85.46697,82.59999,85.42678,86.96945,86.57269,85.3117,88.11977,87.05112,111.3287,66.2583
2025-04-24 17:00:00,22.83,-0.027,491,55.08895,57.19035,56.62432,56.57696,108.1585,111.2295,110.4448,110.6079,43.72309,43.66,45.65381,44.16494,86.3679,85.50557,89.48822,86.49998,60.45745,126.3442
2025-04-24 17:15:00,23.11,-0.056,483.6,239.1003,232.6341,235.6885,249.1842,275.9318,277.5017,271.0736,286.0411,190.458,178.2464,189.3214,197.5095,221.1202,213.0859,219.5071,225.6121,258.4908,239.4855
2025-04-24 17:30:00,22.49,-0.095,477.9,188.7836,189.8365,187.55,193.5735,148.1425,150.2632,146.127,152.4998,151.0161,145.4952,151.8055,151.9626,118.9758,115.7366,118.0788,119.6889,182.7181,146.0381
2025-04-24 17:45:00,22.6,-0.055,475.3,92.82346,96.40015,94.45695,95.76,68.26813,72.00299,70.31255,70.36282,74.31715,74.48581,76.72034,74.85329,54.82328,56.12716,57.49184,54.81589,86.62246,68.5743
2025-04-24 18:00:00,23.35,0.033,480.4,45.91096,48.00031,46.5868,47.43243,55.20599,56.97659,54.45038,57.87967,36.69047,37.11251,37.79015,36.97876,43.99865,43.82458,43.90764,45.26889,45.65607,63.7549
2025-04-24 18:15:00,23.36,0.046,479.4,86.78036,91.17992,87.82105,89.31355,64.75463,67.63954,66.81233,65.93169,68.94551,69.54498,71.00806,69.89804,51.28133,52.05502,54.25327,51.18082,90.86243,71.2651
2025-04-24 18:30:00,23.53,0.071,479.5,79.29721,82.3977,80.14029,81.31117,114.2541,119.0151,116.0532,117.8034,63.14326,63.29811,64.91302,63.37533,91.29034,91.43795,94.42518,91.99326,86.34731,112.9839
2025-04-24 18:45:00,23.19,0.03,482.9,89.31666,93.32381,91.34476,92.0624,97.85529,102.2385,100.089,100.68,71.0565,71.57423,74.05135,71.70367,78.06009,78.94643,81.35485,78.33244,90.40827,100.9427
2025-04-24 19:00:00,23.14,-0.001,478.6,95.17352,97.5491,96.83398,98.44596,77.14169,78.35884,77.02814,79.8786,75.90001,75.35513,78.5101,76.57894,61.2828,60.37894,62.59739,62.29596,97.18684,79.7423
